,AdID,AdURL,AdText,HostedPage,Impressions,Currency,AdSpending
0,161547868597338,https://www.facebook.com/ads/archive/render_ad/?id=161547868597338&access_token=EAAQIiNlxAggBAGGAoP8ahml7no83pQJqQsq7FoaeTmsD3JZCu5AkVsECsRZByGU4D8DkYzZBAo2ZAlTR9q06uDgoLW2eVMV0F8XEnkgeReKT8IRReVW8q4KzfAfT3W0N6TsbZA9LdlNQ6Qtquab1ZBeQFZBKcSxNOUZD,{{product.brand}},Vote Yes for Fair Tax,"{'lower_bound': '4000', 'upper_bound': '4999'}",USD,"{'lower_bound': '0', 'upper_bound': '99'}"
1,231634031267946,https://www.facebook.com/ads/archive/render_ad/?id=231634031267946&access_token=EAAQIiNlxAggBAGGAoP8ahml7no83pQJqQsq7FoaeTmsD3JZCu5AkVsECsRZByGU4D8DkYzZBAo2ZAlTR9q06uDgoLW2eVMV0F8XEnkgeReKT8IRReVW8q4KzfAfT3W0N6TsbZA9LdlNQ6Qtquab1ZBeQFZBKcSxNOUZD,{{product.brand}},Vote Yes for Fair Tax,"{'lower_bound': '4000', 'upper_bound': '4999'}",USD,"{'lower_bound': '100', 'upper_bound': '199'}"
2,233098731244956,https://www.facebook.com/ads/archive/render_ad/?id=233098731244956&access_token=EAAQIiNlxAggBAGGAoP8ahml7no83pQJqQsq7FoaeTmsD3JZCu5AkVsECsRZByGU4D8DkYzZBAo2ZAlTR9q06uDgoLW2eVMV0F8XEnkgeReKT8IRReVW8q4KzfAfT3W0N6TsbZA9LdlNQ6Qtquab1ZBeQFZBKcSxNOUZD,{{product.brand}},Vote Yes for Fair Tax,"{'lower_bound': '7000', 'upper_bound': '7999'}",USD,"{'lower_bound': '100', 'upper_bound': '199'}"
3,246740140011738,https://www.facebook.com/ads/archive/render_ad/?id=246740140011738&access_token=EAAQIiNlxAggBAGGAoP8ahml7no83pQJqQsq7FoaeTmsD3JZCu5AkVsECsRZByGU4D8DkYzZBAo2ZAlTR9q06uDgoLW2eVMV0F8XEnkgeReKT8IRReVW8q4KzfAfT3W0N6TsbZA9LdlNQ6Qtquab1ZBeQFZBKcSxNOUZD,{{product.brand}},Vote Yes for Fair Tax,"{'lower_bound': '5000', 'upper_bound': '5999'}",USD,"{'lower_bound': '100', 'upper_bound': '199'}"
4,290585385271290,https://www.facebook.com/ads/archive/render_ad/?id=290585385271290&access_token=EAAQIiNlxAggBAGGAoP8ahml7no83pQJqQsq7FoaeTmsD3JZCu5AkVsECsRZByGU4D8DkYzZBAo2ZAlTR9q06uDgoLW2eVMV0F8XEnkgeReKT8IRReVW8q4KzfAfT3W0N6TsbZA9LdlNQ6Qtquab1ZBeQFZBKcSxNOUZD,{{product.brand}},Vote Yes for Fair Tax,"{'lower_bound': '3000', 'upper_bound': '3999'}",USD,"{'lower_bound': '0', 'upper_bound': '99'}"
5,556926298297131,https://www.facebook.com/ads/archive/render_ad/?id=556926298297131&access_token=EAAQIiNlxAggBAGGAoP8ahml7no83pQJqQsq7FoaeTmsD3JZCu5AkVsECsRZByGU4D8DkYzZBAo2ZAlTR9q06uDgoLW2eVMV0F8XEnkgeReKT8IRReVW8q4KzfAfT3W0N6TsbZA9LdlNQ6Qtquab1ZBeQFZBKcSxNOUZD,{{product.brand}},Vote Yes for Fair Tax,"{'lower_bound': '1000', 'upper_bound': '1999'}",USD,"{'lower_bound': '0', 'upper_bound': '99'}"
6,558004635111950,https://www.facebook.com/ads/archive/render_ad/?id=558004635111950&access_token=EAAQIiNlxAggBAGGAoP8ahml7no83pQJqQsq7FoaeTmsD3JZCu5AkVsECsRZByGU4D8DkYzZBAo2ZAlTR9q06uDgoLW2eVMV0F8XEnkgeReKT8IRReVW8q4KzfAfT3W0N6TsbZA9LdlNQ6Qtquab1ZBeQFZBKcSxNOUZD,{{product.brand}},Vote Yes for Fair Tax,"{'lower_bound': '4000', 'upper_bound': '4999'}",USD,"{'lower_bound': '100', 'upper_bound': '199'}"
7,575332606675205,https://www.facebook.com/ads/archive/render_ad/?id=575332606675205&access_token=EAAQIiNlxAggBAGGAoP8ahml7no83pQJqQsq7FoaeTmsD3JZCu5AkVsECsRZByGU4D8DkYzZBAo2ZAlTR9q06uDgoLW2eVMV0F8XEnkgeReKT8IRReVW8q4KzfAfT3W0N6TsbZA9LdlNQ6Qtquab1ZBeQFZBKcSxNOUZD,{{product.brand}},Vote Yes for Fair Tax,"{'lower_bound': '5000', 'upper_bound': '5999'}",USD,"{'lower_bound': '100', 'upper_bound': '199'}"
8,667383964086741,https://www.facebook.com/ads/archive/render_ad/?id=667383964086741&access_token=EAAQIiNlxAggBAGGAoP8ahml7no83pQJqQsq7FoaeTmsD3JZCu5AkVsECsRZByGU4D8DkYzZBAo2ZAlTR9q06uDgoLW2eVMV0F8XEnkgeReKT8IRReVW8q4KzfAfT3W0N6TsbZA9LdlNQ6Qtquab1ZBeQFZBKcSxNOUZD,{{product.brand}},Vote Yes for Fair Tax,"{'lower_bound': '3000', 'upper_bound': '3999'}",USD,"{'lower_bound': '0', 'upper_bound': '99'}"
9,672804880230643,https://www.facebook.com/ads/archive/render_ad/?id=672804880230643&access_token=EAAQIiNlxAggBAGGAoP8ahml7no83pQJqQsq7FoaeTmsD3JZCu5AkVsECsRZByGU4D8DkYzZBAo2ZAlTR9q06uDgoLW2eVMV0F8XEnkgeReKT8IRReVW8q4KzfAfT3W0N6TsbZA9LdlNQ6Qtquab1ZBeQFZBKcSxNOUZD,{{product.brand}},Vote Yes for Fair Tax,"{'lower_bound': '4000', 'upper_bound': '4999'}",USD,"{'lower_bound': '0', 'upper_bound': '99'}"
