,AdID,AdURL,AdText,HostedPage,Impressions,Currency,AdSpending,toxicity,identityAttack,insult,positivity
0,161547868597338,https://www.facebook.com/ads/archive/render_ad/?id=161547868597338&access_token=EAAQIiNlxAggBAGGAoP8ahml7no83pQJqQsq7FoaeTmsD3JZCu5AkVsECsRZByGU4D8DkYzZBAo2ZAlTR9q06uDgoLW2eVMV0F8XEnkgeReKT8IRReVW8q4KzfAfT3W0N6TsbZA9LdlNQ6Qtquab1ZBeQFZBKcSxNOUZD,{{product.brand}},Vote Yes for Fair Tax,5999,USD,199,0,0,0,0
21,822850064787445,https://www.facebook.com/ads/archive/render_ad/?id=822850064787445&access_token=EAAQIiNlxAggBAGGAoP8ahml7no83pQJqQsq7FoaeTmsD3JZCu5AkVsECsRZByGU4D8DkYzZBAo2ZAlTR9q06uDgoLW2eVMV0F8XEnkgeReKT8IRReVW8q4KzfAfT3W0N6TsbZA9LdlNQ6Qtquab1ZBeQFZBKcSxNOUZD,"Watch Patagonia grantee Friends of the Everglades' Clean Water Conversation to hear environmental leaders discuss Lake Okeechobee's management plan, and how you can help advocate for stronger protections to safeguard the waterways you love.",Patagonia,999,USD,99,0,0,0,1
23,2690874887903984,https://www.facebook.com/ads/archive/render_ad/?id=2690874887903984&access_token=EAAQIiNlxAggBAGGAoP8ahml7no83pQJqQsq7FoaeTmsD3JZCu5AkVsECsRZByGU4D8DkYzZBAo2ZAlTR9q06uDgoLW2eVMV0F8XEnkgeReKT8IRReVW8q4KzfAfT3W0N6TsbZA9LdlNQ6Qtquab1ZBeQFZBKcSxNOUZD,Patagonia grantee Marine Conservation Institute is hosting a photo contest to celebrate the crucial role that the ocean plays in all our lives. Click to learn more about the contest details and submit your best shot.,Patagonia,19999,USD,99,0,0,0,0
24,171822430780790,https://www.facebook.com/ads/archive/render_ad/?id=171822430780790&access_token=EAAQIiNlxAggBAGGAoP8ahml7no83pQJqQsq7FoaeTmsD3JZCu5AkVsECsRZByGU4D8DkYzZBAo2ZAlTR9q06uDgoLW2eVMV0F8XEnkgeReKT8IRReVW8q4KzfAfT3W0N6TsbZA9LdlNQ6Qtquab1ZBeQFZBKcSxNOUZD,"“Our Flag Does Not Fly Because The Wind Moves It. It Flies With The Last Breath of Each Soldier Who Died Protecting It.”
https://myfreedomjersey.com/memorial_day

🇺🇸 HONORING ALL WHO SERVED 🇺🇸
Take $40 off NOW thru Memorial Day

THE PERFECT GIFT for American Patriots, US Veterans, & Active Military!
✓ Limited Edition
✓ Made in the USA
✓ Veteran Owned & Operated
🚚💨 Fast Shipping!

Normally $89 Get it for a Limited Time ONLY just $49

Grab YOURS here ⬇⬇⬇
https://myfreedomjersey.com/memorial_day

⚠️ SUPPORT A VETERAN ⚠️
Proceeds From This Sale Benefit Our Friends at Wounded Warrior Project®",My Freedom Jersey,999,USD,99,0,0,0,1
37,172499587440422,https://www.facebook.com/ads/archive/render_ad/?id=172499587440422&access_token=EAAQIiNlxAggBAGGAoP8ahml7no83pQJqQsq7FoaeTmsD3JZCu5AkVsECsRZByGU4D8DkYzZBAo2ZAlTR9q06uDgoLW2eVMV0F8XEnkgeReKT8IRReVW8q4KzfAfT3W0N6TsbZA9LdlNQ6Qtquab1ZBeQFZBKcSxNOUZD,Go behind the scenes with Chicago Mayor Lori Lightfoot at Shedd Aquarium now in episode 1 of our new virtual series supported by Citadel! Watch the episode and get to know Wellington the penguin.,Hit Play Chicago,14999,USD,199,0,0,0,0
41,233059074615463,https://www.facebook.com/ads/archive/render_ad/?id=233059074615463&access_token=EAAQIiNlxAggBAGGAoP8ahml7no83pQJqQsq7FoaeTmsD3JZCu5AkVsECsRZByGU4D8DkYzZBAo2ZAlTR9q06uDgoLW2eVMV0F8XEnkgeReKT8IRReVW8q4KzfAfT3W0N6TsbZA9LdlNQ6Qtquab1ZBeQFZBKcSxNOUZD,We’re proud to join Chicago Mayor Lori Lightfoot to take students and families behind the scenes at some of Chicago’s iconic institutions. Read more about how you can access these virtual field trips.,Citadel Careers,2999,USD,99,0,0,0,0
45,161329935310109,https://www.facebook.com/ads/archive/render_ad/?id=161329935310109&access_token=EAAQIiNlxAggBAGGAoP8ahml7no83pQJqQsq7FoaeTmsD3JZCu5AkVsECsRZByGU4D8DkYzZBAo2ZAlTR9q06uDgoLW2eVMV0F8XEnkgeReKT8IRReVW8q4KzfAfT3W0N6TsbZA9LdlNQ6Qtquab1ZBeQFZBKcSxNOUZD,"The 2020 Census is used to inform funding decisions, services, create jobs, and much more! Click below for more information.",Illinois Association of Community Action Agencies,34999,USD,99,0,0,0,0
47,241559597059518,https://www.facebook.com/ads/archive/render_ad/?id=241559597059518&access_token=EAAQIiNlxAggBAGGAoP8ahml7no83pQJqQsq7FoaeTmsD3JZCu5AkVsECsRZByGU4D8DkYzZBAo2ZAlTR9q06uDgoLW2eVMV0F8XEnkgeReKT8IRReVW8q4KzfAfT3W0N6TsbZA9LdlNQ6Qtquab1ZBeQFZBKcSxNOUZD,The 2020 Census is the decennial population count that can have a big impact on your state or community. Click below for more information!,Illinois Association of Community Action Agencies,19999,USD,99,0,0,0,0
57,526696898026055,https://www.facebook.com/ads/archive/render_ad/?id=526696898026055&access_token=EAAQIiNlxAggBAGGAoP8ahml7no83pQJqQsq7FoaeTmsD3JZCu5AkVsECsRZByGU4D8DkYzZBAo2ZAlTR9q06uDgoLW2eVMV0F8XEnkgeReKT8IRReVW8q4KzfAfT3W0N6TsbZA9LdlNQ6Qtquab1ZBeQFZBKcSxNOUZD,The deadline to submit an application to vote by mail is May 21! Submit your application TODAY and vote for fellow union member Robbie Tovar for Tippecanoe County Council in the Democratic Primary on June 2!,Indiana AFL-CIO,14999,USD,199,0,0,0,0
58,240406350611223,https://www.facebook.com/ads/archive/render_ad/?id=240406350611223&access_token=EAAQIiNlxAggBAGGAoP8ahml7no83pQJqQsq7FoaeTmsD3JZCu5AkVsECsRZByGU4D8DkYzZBAo2ZAlTR9q06uDgoLW2eVMV0F8XEnkgeReKT8IRReVW8q4KzfAfT3W0N6TsbZA9LdlNQ6Qtquab1ZBeQFZBKcSxNOUZD,Out of work as a result of the coronavirus? I’ve launched a virtual job fair to help connect people with available jobs:,Congressman Brian Mast,69999,USD,1499,0,0,0,0
59,2742199432691161,https://www.facebook.com/ads/archive/render_ad/?id=2742199432691161&access_token=EAAQIiNlxAggBAGGAoP8ahml7no83pQJqQsq7FoaeTmsD3JZCu5AkVsECsRZByGU4D8DkYzZBAo2ZAlTR9q06uDgoLW2eVMV0F8XEnkgeReKT8IRReVW8q4KzfAfT3W0N6TsbZA9LdlNQ6Qtquab1ZBeQFZBKcSxNOUZD,"Join Patagonia grantee Manomet on May 14 for a live webinar celebrating the spring migration of warblers. Tune in to hear from Evan Dalton on how to properly identify this species through both photos and sound, as well as learn interesting facts about this unique bird.",Patagonia,19999,USD,199,0,0,0,0
60,172673530743098,https://www.facebook.com/ads/archive/render_ad/?id=172673530743098&access_token=EAAQIiNlxAggBAGGAoP8ahml7no83pQJqQsq7FoaeTmsD3JZCu5AkVsECsRZByGU4D8DkYzZBAo2ZAlTR9q06uDgoLW2eVMV0F8XEnkgeReKT8IRReVW8q4KzfAfT3W0N6TsbZA9LdlNQ6Qtquab1ZBeQFZBKcSxNOUZD,Join Patagonia grantee Mystic River Watershed Association for a virtual trivia night on May 20. Grab a team or sign up as an individual to test your skills at local environmental trivia for  a chance to win special prizes.,Patagonia,5999,USD,99,0,0,0,0
61,271967833980259,https://www.facebook.com/ads/archive/render_ad/?id=271967833980259&access_token=EAAQIiNlxAggBAGGAoP8ahml7no83pQJqQsq7FoaeTmsD3JZCu5AkVsECsRZByGU4D8DkYzZBAo2ZAlTR9q06uDgoLW2eVMV0F8XEnkgeReKT8IRReVW8q4KzfAfT3W0N6TsbZA9LdlNQ6Qtquab1ZBeQFZBKcSxNOUZD,"Join Patagonia grantee Mystic River Watershed Association on May 20 for a kid-friendly, free webinar on the relationship between herring and other life in the watershed. Click to reserve your spot.

Photo: Moira Asheleigh",Patagonia,4999,USD,99,0,0,0,1
62,3203473349703261,https://www.facebook.com/ads/archive/render_ad/?id=3203473349703261&access_token=EAAQIiNlxAggBAGGAoP8ahml7no83pQJqQsq7FoaeTmsD3JZCu5AkVsECsRZByGU4D8DkYzZBAo2ZAlTR9q06uDgoLW2eVMV0F8XEnkgeReKT8IRReVW8q4KzfAfT3W0N6TsbZA9LdlNQ6Qtquab1ZBeQFZBKcSxNOUZD,Join Patagonia grantee Mystic River Watershed Association for a virtual run or walk on May 16 in celebration of the spectacular herring migration that occurs each spring on the Mystic.,Patagonia,5999,USD,99,0,0,0,0
